Unit	Steady(Kelvin)
hsink_P_1_7	360.34
hsink_P_1_8	359.00
hsink_P_1_9	357.20
hsink_P_2_0	357.69
hsink_P_2_1	359.74
hsink_P_2_2	361.26
hsink_P_2_3	362.33
hsink_P_2_4	362.85
hsink_P_2_5	362.86
hsink_P_2_6	362.35
hsink_P_2_7	361.28
hsink_P_2_8	359.74
hsink_P_2_9	357.67
hsink_P_3_0	358.00
hsink_P_3_1	360.24
hsink_P_3_2	361.89
hsink_P_3_3	363.06
hsink_P_3_4	363.63
hsink_P_3_5	363.64
hsink_P_3_6	363.07
hsink_P_3_7	361.88
hsink_P_3_8	360.21
hsink_P_3_9	357.97
hsink_P_4_0	358.13
hsink_P_4_1	360.44
hsink_P_4_2	362.20
hsink_P_4_3	363.45
hsink_P_4_4	364.04
hsink_P_4_5	364.05
hsink_P_4_6	363.43
hsink_P_4_7	362.19
hsink_P_4_8	360.44
hsink_P_4_9	358.11
hsink_P_5_0	358.08
hsink_P_5_1	360.42
hsink_P_5_2	362.20
hsink_P_5_3	363.47
hsink_P_5_4	364.07
hsink_P_5_5	364.10
hsink_P_5_6	363.44
hsink_P_5_7	362.19
hsink_P_5_8	360.44
hsink_P_5_9	358.11
hsink_P_6_0	357.92
hsink_P_6_1	360.18
hsink_P_6_2	361.91
hsink_P_6_3	363.11
hsink_P_6_4	363.70
hsink_P_6_5	363.73
hsink_P_6_6	363.10
hsink_P_6_7	361.89
hsink_P_6_8	360.20
hsink_P_6_9	357.96
hsink_P_7_0	357.64
hsink_P_7_1	359.73
hsink_P_7_2	361.32
hsink_P_7_3	362.40
hsink_P_7_4	362.94
hsink_P_7_5	362.95
hsink_P_7_6	362.40
hsink_P_7_7	361.28
hsink_P_7_8	359.73
hsink_P_7_9	357.66
hsink_P_8_0	357.20
hsink_P_8_1	359.02
hsink_P_8_2	360.42
hsink_P_8_3	361.31
hsink_P_8_4	361.75
hsink_P_8_5	361.76
hsink_P_8_6	361.30
hsink_P_8_7	360.32
hsink_P_8_8	358.99
hsink_P_8_9	357.19
hsink_P_9_0	356.56
hsink_P_9_1	357.99
hsink_P_9_2	359.08
hsink_P_9_3	359.79
hsink_P_9_4	360.10
hsink_P_9_5	360.10
hsink_P_9_6	359.73
hsink_P_9_7	358.98
hsink_P_9_8	357.95
hsink_P_9_9	356.55
inode_0	354.49
inode_1	354.49
inode_2	353.89
inode_3	353.91
inode_4	354.33
inode_5	354.33
inode_6	353.65
inode_7	353.67
inode_8	347.85
inode_9	347.85
inode_10	347.95
inode_11	347.96
